function,epsilon,lsb_in,msb_out,lsb_out,LUTs,FFs,DSPs,BRAMs,avg_error,errors
log(x+0.1)/log(2),0.1,-3,2,-4,3,0,0,0.0,0.01793691481717434,"0.009428094887,0.027003093445,0.014573172830,0.011500581444,0.013034405834,0.026447099760,0.015534746363,0.025974123975"
log(x+0.1)/log(2),0.1,-3,2,-3,3,0,0,0.0,0.030849439800720482,"0.053071905113,0.027003093445,0.014573172830,0.050999418556,0.013034405834,0.036052900240,0.015534746363,0.036525876025"
log(x+0.1)/log(2),0.1,-3,2,-5,4,0,0,0.0,0.009799585522242762,"0.009428094887,0.004246906555,0.014573172830,0.011500581444,0.013034405834,0.004802900240,0.015534746363,0.005275876025"
log(x+0.1)/log(2),0.1,-3,2,-6,4,0,0,0.0,0.0035474601828256605,"0.006196905113,0.004246906555,0.001051827170,0.004124418556,0.002590594166,0.004802900240,0.000090253637,0.005275876025"
log(x+0.1)/log(2),0.1,-3,2,-7,5,0,0,0.0,0.0022685210605420244,"0.001615594887,0.003565593445,0.001051827170,0.003688081444,0.002590594166,0.003009599760,0.000090253637,0.002536623975"
log(x+0.1)/log(2),0.1,-3,2,-8,5,0,0,0.0,0.0008623041131146517,"0.001615594887,0.000340656555,0.001051827170,0.000218168556,0.001315655834,0.000896650240,0.000090253637,0.001369626025"
log(x+0.1)/log(2),0.1,-3,2,-9,6,0,0,0.0,0.0005006906339867631,"0.000337530113,0.000340656555,0.000901297830,0.000218168556,0.000637469166,0.000896650240,0.000090253637,0.000583498975"
log(x+0.1)/log(2),0.1,-3,2,-10,6,0,0,0.0,0.0002342428312216852,"0.000337530113,0.000340656555,0.000075264670,0.000218168556,0.000339093334,0.000079912260,0.000090253637,0.000393063525"
log(x+0.1)/log(2),0.1,-3,2,-11,7,0,0,0.0,0.0001257975745977821,"0.000150751137,0.000147624695,0.000075264670,0.000218168556,0.000149187916,0.000079912260,0.000090253637,0.000095217725"
log(x+0.1)/log(2),0.1,-3,2,-12,7,0,0,0.0,8.143481088741713e-05,"0.000093389488,0.000096515930,0.000075264670,0.000025972069,0.000094952709,0.000079912260,0.000090253637,0.000095217725"
